,sentence,predicted_langugae,target_language
18897,når du har fundet ud af den vil give dig bifald,Danish,Danish
18898,han gjorde det genom att skapa en rörelse,Swedish,Swedish
18899,den kinesiske stat,Danish,Danish
18900,rires,French,French
18901,vielen dank,German,German
18902,at jeg vil afklare mit mål for jer,Danish,Danish
18903,och sprider dem själva,Swedish,Swedish
18904,eu gostaria de terminar dizendo,Portuguese,Portuguese
18905,aber das schöne daran ist,German,German
18906,med den typen av digitala spridningsmedel,Swedish,Swedish
18907,aquí és aquí i fora daquí és fora daquí dacord,Catalan,Catalan
18908,eu não vim para cá sozinho,Portuguese,Portuguese
18909,e cosa stava facendo usa anche la prima persona singolare io,Italian,Italian
18910,e dissemos,Portuguese,Portuguese
18911,potete vedere che più di persone gli hanno dato,Italian,Italian
18912,às minhas perguntas neste momento,Portuguese,Portuguese
18913,és un avanç important però és un reactor ràpid,Catalan,Catalan
18914,han kapar ungefär hälften av det där,Swedish,Swedish
18915,que estou a segurar,Portuguese,Portuguese
18916,selv hvis det betyder at tage den eksistentielle elevator,Danish,Danish
18917,dit bracht me bij de mens,Dutch,Dutch
18918,di chi siamo come esseri umani,Italian,Italian
18919,eén ervan werd gisteren genoemd,Dutch,Dutch
18920,och det är att solens ansikte,Swedish,Swedish
18921,que contém proteínas ósseas,Portuguese,Portuguese
18922,toen het bewolkt was in bangladesh,Dutch,Dutch
18923,aleshores el seguent grau és estem implantant aquesta tecnologia de zeroemissions,Catalan,Catalan
18924,è stato un modo più facile per chiedere aiuto,Italian,Italian
18925,at den ideelle elev er udadvendt,Danish,Danish
18926,dans tous les cas nous devons essayer de le voir tel quil est,French,French
18927,og folk der bliver meget overraskede,Danish,Danish
18928,per la pau,Catalan,Catalan
18929,och han var nyfiken,Swedish,Swedish
18930,behöver verkligen ett tedtalk ord,Swedish,Swedish
18931,komt direct voort uit dingen,Dutch,Dutch
18932,im vergleich zu der art,German,German
18933,mot kontroll,Swedish,Swedish
18934,sono in realtà soluzioni e cosa voglio dire con questo,Italian,Italian
18935,sono state sviluppate da brad pitt e dalla fondazione make it right,Italian,Italian
18936,fordi tydeligvis gør vi ikke det,Danish,Danish
18937,en una altra part de ghana,Catalan,Catalan
18938,en trouwens de debatten zijn allemaal,Dutch,Dutch
18939,totes les enquestes,Catalan,Catalan
18940,dette er tre spektogrammer,Danish,Danish
18941,i finalment el volum,Catalan,Catalan
18942,lachen,German,German
18943,e le mamme trascinano via i bambini e dicono non fissarlo,Italian,Italian
18944,com algumas regras simples,Portuguese,Portuguese
18945,e se eles aceitarem aumentamos a sua riqueza e podemos ganhar o jogo,Portuguese,Portuguese
18946,doug hofstadter si chiede beh forse la nostra intelligenza,Italian,Italian
18947,die beinahe gut ausgegangen wäre,German,German
18948,che si verificava tra me e la folla,Italian,Italian
18949,du bryter ner aktiviteterna till ett antal,Swedish,Swedish
18950,quants de vosaltres heu sentit a parlar de la companyia atlassian,Catalan,Catalan
18951,podeu trobar aquests punts,Catalan,Catalan
18952,noch reicht es für einen staat aus,German,German
18953,plus efficace pour léducation en général le comportement et les résultats saméliorent sensiblement,French,French
18954,het team van rice university stopte de substantie in rode wijn,Dutch,Dutch
18955,però la restricció mediambiental ho fa encara més important,Catalan,Catalan
18956,ze hadden het te druk met het opbouwen,Dutch,Dutch
18957,der schriftsteller und pendler zwischen den welten james baldwin,German,German
18958,voor het transport van de bestuiving,Dutch,Dutch
18959,e tutte hanno detto come,Italian,Italian
18960,det asynkronistiska internet,Swedish,Swedish
18961,og de siger det sker også for eksperter,Danish,Danish
18962,ça se passait à ce momentlà,French,French
18963,ser una mica més explícits,Catalan,Catalan
18964,però també és clar té a veure amb la crisi massiva,Catalan,Catalan
18965,faktisk har været noget som david laibson var stærkt involveret i udformning af,Danish,Danish
18966,i forskellige forsknings omgivelser ,Danish,Danish
18967,unapp gratuita progettata per aiutare i bambini a studiare,Italian,Italian
18968,und den glanz zu geben,German,German
18969,und dieses kind tatsächlich ernähren und umsorgen kann,German,German
18970,então a oxitocina liganos às outras pessoas,Portuguese,Portuguese
18971,che noi vogliamo che,Italian,Italian
18972,continueu parpellejant cada cop que parpellegeu canviarà és així,Catalan,Catalan
18973,risate,Italian,Italian
18974,zijn baas schreef hem terug en zei,Dutch,Dutch
18975,mas estou disposto a apostar que,Portuguese,Portuguese
18976,pagava la pena de compartirho,Catalan,Catalan
18977,a sua visão era muito fraca,Portuguese,Portuguese
18978,ik kocht de flitsende wielen installeerde ze en ,Dutch,Dutch
18979,especialment a la ciutat on ells van anar,Catalan,Catalan
18980,dus ik generaal tsos kip en dit logo,Dutch,Dutch
18981,ze gaven warmte en daarnaast een beetje licht,Dutch,Dutch
18982,rl eu penso que ele,Portuguese,Portuguese
18983,er hvor alvorligt kronisk stress fra sociale kilder,Danish,Danish
18984,ele vinha acompanhado de duas mulheres que viajavam com ele,Portuguese,Portuguese
18985,que diable regardiezvous,French,French
18986,vi kan ha nått den punkt,Swedish,Swedish
18987,så jeg må vist hellere,Danish,Danish
18988,doch nicht so,German,German
18989,über ein kind das mich immer yogi nannte,German,German
18990,ho portato anche un tavolo a fiamme,Italian,Italian
18991,são pessoas a sair da pobreza o mais depressa que podem,Portuguese,Portuguese
18992,questi sono venere la terra e marte ,Italian,Italian
18993,hanno ricevuto na preparazione,Italian,Italian
18994,die an einem riesigen stab hängt,German,German
18995,dan openen we het boek,Dutch,Dutch
18996,enquanto refazemos os nossos sistemas de segurança,Portuguese,Portuguese
18997,que lestat dohio feia als nens de anys,Catalan,Catalan
18998,nicht unter gorbatschow,German,German
18999,et fournir un service à la communauté,French,French
19000,und die ganze nacht verschwunden blieb,German,German
19001,von maimonides,German,German
19002,lasciandoci dei bellissimi resti di supernova quali vediamo qui,Italian,Italian
19003,come sviluppiamo questo tipo di idee,Italian,Italian
19004,em termos legais,Portuguese,Portuguese
19005,ouvir os professores,Portuguese,Portuguese
19006,conforme a sua capacidade,Portuguese,Portuguese
19007,sie sehen wie menschen geboren werden und sterben,German,German
19008,aussitôt quil entre dans la mer,French,French
19009,og nogle andre internationale juridiske eksperter,Danish,Danish
19010,qui est supposée apporter une sorte de compréhension cohésive,French,French
19011,parece que todas as escolas têm,Portuguese,Portuguese
19012,quando conversei com o chris sobre o futuro,Portuguese,Portuguese
19013,portanto se queres que seja melhor tens que mostrarte e fazer a tua parte,Portuguese,Portuguese
19014,wenn wir sie ausprobiert haben,German,German
19015,e se por acaso falam disso aos seus médicos,Portuguese,Portuguese
19016,eu disse ao marty ,Portuguese,Portuguese
19017,vi höll på att bygga eller delvis bygga om,Swedish,Swedish
19018,och i stället för att säga ok evelyn fötterna lite isär,Swedish,Swedish
19019,alors pourquoi ne seraitil pas daccord avec ça ,French,French
19020,ik dacht daar moeten ze het mee doen,Dutch,Dutch
19021,de montrer que ce nest pas juste un rêve et une vision,French,French
19022,signifiqui el que signifiqui,Catalan,Catalan
19023,vooral vandaag maar ook de rest van de wereld,Dutch,Dutch
19024,mit navn er britlin losee,Danish,Danish
19025,davor hatte er am meisten angst,German,German
19026,jeg vil dog starte,Danish,Danish
19027,ma anche per iphone,Italian,Italian
19028,e como o estive a fazer e vou tentar,Portuguese,Portuguese
19029,et nos vies meilleures,French,French
19030,ara em veus pensant,Catalan,Catalan
19031,oder wir meinen gar nichts,German,German
19032,det är ingen lagföreskriven rätt att undervisa barn om mat,Swedish,Swedish
19033,die leute sagten hast du keine angst niemals erfolg zu haben,German,German
19034,människors resultat,Swedish,Swedish
19035,quil y avait deux problèmes,French,French
19036,en spaarde genoeg geld,Dutch,Dutch
19037,är om du skulle få en fantastisk sak med procents chans,Swedish,Swedish
19038,hem de ferho per la nostra pròpia economia,Catalan,Catalan
19039,het was al deze dingen,Dutch,Dutch
19040,estce quelles devraient changer dusine,French,French
19041,quan el vicepresident de qualitat,Catalan,Catalan
19042,der ihn zum mittagessen einlädt,German,German
19043, rollen kreuken vouwen ,Dutch,Dutch
19044,dado o acesso à tecnologia,Portuguese,Portuguese
19045,no si no fos així lobra sacabaria burro,Catalan,Catalan
19046,nous avons tous vu beaucoup de tedtalks en ligne,French,French
19047,que està desenvolupant una nova unitat de ciberguerra,Catalan,Catalan
19048,poden ser esborrats abans de ,Catalan,Catalan
19049,zo diepgaand hebben veranderd,Dutch,Dutch
19050,todos sabiam que tinhas aquele génio desencarnado que te tinha ajudado,Portuguese,Portuguese
19051,numa mina do gana,Portuguese,Portuguese
19052,que normalmente habitam o intestino,Portuguese,Portuguese
19053,vous ne pouvez pas tout mettre sur une île,French,French
19054,mee eens ja,Dutch,Dutch
19055,eller ungefär  jobb,Swedish,Swedish
19056,att kunna utforska lära föreställa oss,Swedish,Swedish
19057,les dernières technologies,French,French
19058,vivere è condividere,Italian,Italian
19059,risate,Italian,Italian
19060,und ich schrieb ein gedicht das für mich auch heute noch zu stimmen scheint,German,German
19061,väldigt energiskt eller hur,Swedish,Swedish
19062,für ein wichtiger vertreter des wandels,German,German
19063,een remparachute is een kleinere parachute die helpt om je hoofd naar beneden te houden,Dutch,Dutch
19064,nelleconomia odierna,Italian,Italian
19065,ist nicht lustig,German,German
19066,og de har taget fejl,Danish,Danish
19067,ist eine wirklich lange liste,German,German
19068,kan blive forbundet til enhver anden data,Danish,Danish
19069,os pobres urbanos à fome,Portuguese,Portuguese
19070,ce qui se passe cest que,French,French
19071,många av oss har har tagit det beslutet och det är faktiskt ganska enkelt,Swedish,Swedish
19072,i quan tenia els ,Catalan,Catalan
19073,cest au travers de documents comme celuici,French,French
19074,questo è come si potrebbero separare,Italian,Italian
19075,men det er uinspirerende,Danish,Danish
19076,og hvad sker der hvis nogen prøver at angribe det,Danish,Danish
19077,abbiano un valore spirituale emozionale o funzionale,Italian,Italian
19078,het vredesakkoord werd getekend,Dutch,Dutch
19079,quando era evidente che il sistema stava crollando mamma e papà,Italian,Italian
19080,het groene school effect ,Dutch,Dutch
19081,per tant,Catalan,Catalan
19082,auf einem sportplatz,German,German
19083,eram os olhos os olhos são a janela da alma,Portuguese,Portuguese
19084,al pacinos personage in the godfather,Dutch,Dutch
19085,en hun rechten te beschermen,Dutch,Dutch
19086,mas proporcionasteme um futuro incrível,Portuguese,Portuguese
19087,det slog mig new yorkers holder ikke hånd,Danish,Danish
19088,men det är bara en påminnelse,Swedish,Swedish
19089,grelhar o frango amassálo,Portuguese,Portuguese
19090,und fernsehen nicht machen kann,German,German
19091,alles was wir essen jedes reiskorn,German,German
19092,la capacitat de la nostra memòria operativa,Catalan,Catalan
19093,eller så kan vi zooma ut till hela innehållsförteckningen,Swedish,Swedish
19094,diese reise hat mich auch nach islamabad geführt,German,German
19095,vem är denna speldesigner som talar till oss,Swedish,Swedish
19096,in der woche anzuschauen,German,German
19097,tekno musik i en bil så spørg dig selv vil denne person nogensinde køre,Danish,Danish
19098,la solution est susceptible de tomber,French,French
19099,hvad der dukker op i rettens filer,Danish,Danish
19100,dramatiskt förbättra människors motivation,Swedish,Swedish
19101,e non è una specie di cosa antiamericana che vi mostro,Italian,Italian
19102,des lieux de joie et de fête,French,French
19103,ich hätte diese frau in dieser nacht,German,German
19104,de bisschop adopteerde me als zijn kind,Dutch,Dutch
19105,de cette biodégradation,French,French
19106,natuurlijk is de werkelijkheid heel anders,Dutch,Dutch
19107,houve um momento em que percebi que a minha missão,Portuguese,Portuguese
19108,com hematomas nas canelas,Portuguese,Portuguese
19109,veniva etichettato come terrorismo,Italian,Italian
19110,por outro lado,Portuguese,Portuguese
19111,si apre solo dallinterno,Italian,Italian
19112,e vejam o que acontece à vossa perceção,Portuguese,Portuguese
19113,applåder,Swedish,Swedish
19114,i que cada gota daigua,Catalan,Catalan
19115,la resposta,Catalan,Catalan
19116,men även den lilla meningen gjorde skillnad,Swedish,Swedish
19117,ni kan ju tänka er hur det hade varit för er ,Swedish,Swedish
19118,laten we naar boven klimmen,Dutch,Dutch
19119,dit is een vervanging waaraan volgens mij,Dutch,Dutch
19120,till ett en väldigt resursfattig miljö,Swedish,Swedish
19121,non lo potremo fare attraverso piccoli mercati rurali,Italian,Italian
19122,è home si hagués de tornar a liraq,Catalan,Catalan
19123,att vi verkligen är på kanten till en ravin av dramatisk förändring,Swedish,Swedish
19124,und von b gehen vier freunde aus,German,German
19125,com os pobres,Portuguese,Portuguese
19126,zij stuurden vaak een achtjarige jongen op pad en weer terug,Dutch,Dutch
19127,als ik je een paar nummers van dit album laat zien,Dutch,Dutch
19128,så man kan faktisk bruge begge sine hænder til at zoome ind elker zoome ud,Danish,Danish
19129,verspil je seconden van je tijd,Dutch,Dutch
19130,om du tror dig veta vilken veckodag du föddes räck upp handen,Swedish,Swedish
19131,maar dan hebben ze een ander politiek proces nodig,Dutch,Dutch
19132,perché è sempre qualche secondo avanti,Italian,Italian
19133,i per què hi estic anant,Catalan,Catalan
